COD_MUNICIPIO,MUNICIPIO
3001,"Atzúbia, l'"
3002,Agost
3003,Agres
3004,Aigües
3005,Albatera
3006,Alcalalí
3007,Alcocer de Planes
3008,Alcoleja
3009,Alcoi
3010,Alfafara
3011,"Alfàs del Pi, l'"
3012,Algorfa
3013,Algueña
3014,Alacant
3015,Almoradí
3016,Almudaina
3017,"Alqueria d'Asnar, l'"
3018,Altea
3019,Aspe
3020,Balones
3021,Banyeres de Mariola
3022,Benasau
3023,Beneixama
3024,Benejúzar
3025,Benferri
3026,Beniarbeig
3027,Beniardá
3028,Beniarrés
3029,Benigembla
3030,Benidoleig
3031,Benidorm
3032,Benifallim
3033,Benifato
3034,Benijófar
3035,Benilloba
3036,Benillup
3037,Benimantell
3038,Benimarfull
3039,Benimassot
3040,Benimeli
3041,Benissa
3042,"Poble Nou de Benitatxell, el"
3043,Biar
3044,Bigastro
3045,Bolulla
3046,Busot
3047,Calp
3048,Callosa d'en Sarrià
3049,Callosa de Segura
3050,"Campello, el"
3051,"Camp de Mirra, el"
3052,Cañada
3053,Castalla
3054,Castell de Castells
3055,Catral
3056,Cocentaina
3057,Confrides
3058,Cox
3059,Crevillent
3060,Quatretondeta
3061,Daya Nueva
3062,Daya Vieja
3063,Dénia
3064,Dolores
3065,Elx
3066,Elda
3067,Facheca
3068,Famorca
3069,Finestrat
3070,Formentera del Segura
3071,Gata de Gorgos
3072,Gaianes
3073,Gorga
3074,Granja de Rocamora
3075,"Castell de Guadalest, el"
3076,Guardamar del Segura
3077,"Fondó de les Neus, el"
3078,Hondón de los Frailes
3079,Ibi
3080,Jacarilla
3081,Xaló
3082,Xàbia
3083,Xixona
3084,"Orxa, l'"
3085,Llíber
3086,Millena
3088,Monforte del Cid
3089,Monòver
3090,Mutxamel
3091,Murla
3092,Muro de Alcoy
3093,Novelda
3094,"Nucia, la"
3095,Ondara
3096,Onil
3097,Orba
3098,Orxeta
3099,Orihuela
3100,Parcent
3101,Pedreguer
3102,Pego
3103,Penàguila
3104,Petrer
3105,"Pinós, el"
3106,Planes
3107,Polop
3109,Rafal
3110,"Ràfol d'Almúnia, el"
3111,Redován
3112,Relleu
3113,Rojales
3114,"Romana, la"
3115,Sagra
3116,Salinas
3117,Sanet y Negrals
3118,San Fulgencio
3119,Sant Joan d'Alacant
3120,San Miguel de Salinas
3121,Santa Pola
3122,Sant Vicent del Raspeig
3123,Sax
3124,Sella
3125,Senija
3127,Tàrbena
3128,Teulada
3129,Tibi
3130,Tollos
3131,Tormos
3132,"Torre de les Maçanes, la"
3133,Torrevieja
3134,"Vall d'Alcalà, la"
3135,"Vall d'Ebo, la"
3136,Vall de Gallinera
3137,"Vall de Laguar, la"
3138,"Verger, el"
3139,"Vila Joiosa, la"
3140,Villena
3901,"Poblets, els"
3902,Pilar de la Horadada
3903,"Montesinos, los"
3904,San Isidro
12001,Atzeneta del Maestrat
12002,Aín
12003,Albocàsser
12004,Alcalà de Xivert
12005,"Alcora, l'"
12006,Alcudia de Veo
12007,Alfondeguilla
12008,Algimia de Almonacid
12009,Almassora
12010,Almedíjar
12011,Almenara
12012,Altura
12013,Arañuel
12014,Ares del Maestrat
12015,Argelita
12016,Artana
12017,Ayódar
12018,Azuébar
12020,Barracas
12021,Betxí
12022,Bejís
12024,Benafer
12025,Benafigos
12026,Benassal
12027,Benicarló
12028,Benicàssim
12029,Benlloc
12031,Borriol
12032,Borriana
12033,Cabanes
12034,Càlig
12036,Canet lo Roig
12037,Castell de Cabres
12038,Castellfort
12039,Castellnovo
12040,Castelló de la Plana
12041,Castillo de Villamalefa
12042,Catí
12043,Caudiel
12044,Cervera del Maestre
12045,Cinctorres
12046,Cirat
12048,Cortes de Arenoso
12049,Costur
12050,"Coves de Vinromà, les"
12051,Culla
12052,Xert
12053,Chilches
12055,Xodos
12056,Chóvar
12057,Eslida
12058,Espadilla
12059,Fanzara
12060,Figueroles
12061,Forcall
12063,Fuente la Reina
12064,Fuentes de Ayódar
12065,Gaibiel
12067,Geldo
12068,Herbés
12069,Higueras
12070,"Jana, la"
12071,Jérica
12072,Llucena
12073,Ludiente
12074,"Llosa, la"
12075,"Mata de Morella, la"
12076,Matet
12077,Moncofa
12078,Montán
12079,Montanejos
12080,Morella
12081,Navajas
12082,Nules
12083,Olocau del Rey
12084,Onda
12085,Orpesa
12087,Palanques
12088,Pavías
12089,Peníscola
12090,Pina de Montalgrao
12091,Portell de Morella
12092,Puebla de Arenoso
12093,"Pobla de Benifassà, la"
12094,"Pobla Tornesa, la"
12095,Ribesalbes
12096,Rossell
12097,Sacañet
12098,"Salzadella, la"
12099,Sant Jordi
12100,Sant Mateu
12101,San Rafael del Río
12102,Santa Magdalena de Pulpis
12103,"Serratella, la"
12104,Segorbe
12105,Sierra Engarcerán
12106,Soneja
12107,Sot de Ferrer
12108,Suera
12109,Tales
12110,Teresa
12111,Tírig
12112,Todolella
12113,Toga
12114,Torás
12115,"Toro, el"
12116,Torralba del Pinar
12117,Torreblanca
12118,Torrechiva
12119,"Torre d'En Besora, la"
12120,"Torre d'en Doménec, la"
12121,Traiguera
12122,"Useres, les"
12123,Vallat
12124,Vall d'Alba
12125,Vall de Almonacid
12126,"Vall d'Uixó, la"
12127,Vallibona
12128,Vilafamés
12129,Vilafranca
12130,Villahermosa del Río
12131,Villamalur
12132,Vilanova d'Alcolea
12133,Villanueva de Viver
12134,Vilar de Canes
12135,Vila-real
12136,"Vilavella, la"
12137,Villores
12138,Vinaròs
12139,Vistabella del Maestrat
12140,Viver
12141,Zorita del Maestrazgo
12142,Zucaina
12901,"Alqueries, les"
12902,Sant Joan de Moró
46001,Ademuz
46002,Ador
46003,Atzeneta d'Albaida
46004,Agullent
46005,Alaquàs
46006,Albaida
46007,Albal
46008,Albalat de la Ribera
46009,Albalat dels Sorells
46010,Albalat dels Tarongers
46011,Alberic
46012,Alborache
46013,Alboraia
46014,Albuixech
46015,Alcàsser
46016,Alcàntera de Xúquer
46017,Alzira
46018,Alcublas
46019,"Alcúdia, l'"
46020,"Alcúdia de Crespins, l'"
46021,Aldaia
46022,Alfafar
46023,Alfauir
46024,Alfara de la Baronia
46025,Alfara del Patriarca
46026,Alfarp
46027,Alfarrasí
46028,Algar de Palancia
46029,Algemesí
46030,Algímia d'Alfara
46031,Alginet
46032,Almàssera
46033,Almiserà
46034,Almoines
46035,Almussafes
46036,Alpuente
46037,"Alqueria de la Comtessa, l'"
46038,Andilla
46039,Anna
46040,Antella
46041,Aras de los Olmos
46042,Aielo de Malferit
46043,Aielo de Rugat
46044,Ayora
46045,Barxeta
46046,Barx
46047,Bèlgida
46048,Bellreguard
46049,Bellús
46050,Benagéber
46051,Benaguasil
46052,Benavites
46053,Beneixida
46054,Benetússer
46055,Beniarjó
46056,Beniatjar
46057,Benicolet
46058,Benifairó de les Valls
46059,Benifairó de la Valldigna
46060,Benifaió
46061,Beniflá
46062,Benigànim
46063,Benimodo
46064,Benimuslem
46065,Beniparrell
46066,Benirredrà
46067,Benissanó
46068,Benissoda
46069,Benissuera
46070,Bétera
46071,Bicorp
46072,Bocairent
46073,Bolbaite
46074,Bonrepòs i Mirambell
46075,Bufali
46076,Bugarra
46077,Buñol
46078,Burjassot
46079,Calles
46080,Camporrobles
46081,Canals
46082,Canet d'En Berenguer
46083,Carcaixent
46084,Càrcer
46085,Carlet
46086,Carrícola
46087,Casas Altas
46088,Casas Bajas
46089,Casinos
46090,Castelló de Rugat
46091,Castellonet de la Conquesta
46092,Castielfabib
46093,Catadau
46094,Catarroja
46095,Caudete de las Fuentes
46096,Cerdà
46097,Cofrentes
46098,Corbera
46099,Cortes de Pallás
46100,Cotes
46101,Quart de les Valls
46102,Quart de Poblet
46103,Quartell
46104,Quatretonda
46105,Cullera
46106,Chelva
46107,Chella
46108,Chera
46109,Cheste
46110,Xirivella
46111,Chiva
46112,Chulilla
46113,Daimús
46114,Domeño
46115,Dos Aguas
46116,"Eliana, l'"
46117,Emperador
46118,Enguera
46119,"Ènova, l'"
46120,Estivella
46121,Estubeny
46122,Faura
46123,Favara
46124,Fontanars dels Alforins
46125,Fortaleny
46126,Foios
46127,"Font d'En Carròs, la"
46128,"Font de la Figuera, la"
46129,Fuenterrobles
46130,Gavarda
46131,Gandia
46132,"Genovés, el"
46133,Gestalgar
46134,Gilet
46135,Godella
46136,Godelleta
46137,"Granja de la Costera, la"
46138,Guadasséquies
46139,Guadassuar
46140,Guardamar de la Safor
46141,Higueruelas
46142,Jalance
46143,Xeraco
46144,Jarafuel
46145,Xàtiva
46146,Xeresa
46147,Llíria
46148,Loriguilla
46149,Losa del Obispo
46150,Llutxent
46151,Llocnou d'En Fenollet
46152,Llocnou de la Corona
46153,Llocnou de Sant Jeroni
46154,Llanera de Ranes
46155,Llaurí
46156,Llombai
46157,"Llosa de Ranes, la"
46158,Macastre
46159,Manises
46160,Manuel
46161,Marines
46162,Massalavés
46163,Massalfassar
46164,Massamagrell
46165,Massanassa
46166,Meliana
46167,Millares
46168,Miramar
46169,Mislata
46170,Moixent
46171,Moncada
46172,Montserrat
46173,Montaverner
46174,Montesa
46175,Montitxelvo
46176,Montroi
46177,Museros
46178,Nàquera
46179,Navarrés
46180,Novetlè
46181,Oliva
46182,Olocau
46183,"Olleria, l'"
46184,Ontinyent
46185,Otos
46186,Paiporta
46187,Palma de Gandía
46188,Palmera
46189,"Palomar, el"
46190,Paterna
46191,Pedralba
46192,Petrés
46193,Picanya
46194,Picassent
46195,Piles
46196,Pinet
46197,Polinyà de Xúquer
46198,Potries
46199,"Pobla de Farnals, la"
46200,"Pobla del Duc, la"
46201,Puebla de San Miguel
46202,"Pobla de Vallbona, la"
46203,"Pobla Llarga, la"
46204,"Puig de Santa Maria, el"
46205,Puçol
46206,Quesa
46207,Rafelbunyol
46208,Rafelcofer
46209,Rafelguaraf
46210,Ráfol de Salem
46211,"Real de Gandia, el"
46212,Real
46213,Requena
46214,Riba-roja de Túria
46215,Riola
46216,Rocafort
46217,Rotglà i Corberà
46218,Rótova
46219,Rugat
46220,Sagunt
46221,Salem
46222,Sant Joanet
46223,Sedaví
46224,Segart
46225,Sellent
46226,Sempere
46227,Senyera
46228,Serra
46229,Siete Aguas
46230,Silla
46231,Simat de la Valldigna
46232,Sinarcas
46233,Sollana
46234,Sot de Chera
46235,Sueca
46236,Sumacàrcer
46237,Tavernes Blanques
46238,Tavernes de la Valldigna
46239,Teresa de Cofrentes
46240,Terrateig
46241,Titaguas
46242,Torrebaja
46243,Torrella
46244,Torrent
46245,Torres Torres
46246,Tous
46247,Tuéjar
46248,Turís
46249,Utiel
46250,València
46251,Vallada
46252,Vallanca
46253,Vallés
46254,Venta del Moro
46255,Vilallonga
46256,Vilamarxant
46257,Villanueva de Castellón
46258,Villar del Arzobispo
46259,Villargordo del Cabriel
46260,Vinalesa
46261,Yátova
46262,"Yesa, la"
46263,Zarra
46902,Gátova
46903,San Antonio de Benagéber
46904,Benicull de Xúquer
