COD_COMARCA,COMARCA,COD_MUNICIPIO,MUNICIPIO
30,La Marina Alta,3001,"Atzúbia, l'"
32,L'Alacantí,3002,Agost
26,El Comtat,3003,Agres
32,L'Alacantí,3004,Aigües
34,La Vega Baja,3005,Albatera
30,La Marina Alta,3006,Alcalalí
26,El Comtat,3007,Alcocer de Planes
26,El Comtat,3008,Alcoleja
27,L'Alcoià,3009,Alcoi
26,El Comtat,3010,Alfafara
31,La Marina Baixa,3011,"Alfàs del Pi, l'"
34,La Vega Baja,3012,Algorfa
29,El Vinalopó Medio,3013,Algueña
32,L'Alacantí,3014,Alacant
34,La Vega Baja,3015,Almoradí
26,El Comtat,3016,Almudaina
26,El Comtat,3017,"Alqueria d'Asnar, l'"
31,La Marina Baixa,3018,Altea
29,El Vinalopó Medio,3019,Aspe
26,El Comtat,3020,Balones
27,L'Alcoià,3021,Banyeres de Mariola
26,El Comtat,3022,Benasau
28,El Alto Vinalopó,3023,Beneixama
34,La Vega Baja,3024,Benejúzar
34,La Vega Baja,3025,Benferri
30,La Marina Alta,3026,Beniarbeig
31,La Marina Baixa,3027,Beniardá
26,El Comtat,3028,Beniarrés
30,La Marina Alta,3029,Benigembla
30,La Marina Alta,3030,Benidoleig
31,La Marina Baixa,3031,Benidorm
27,L'Alcoià,3032,Benifallim
31,La Marina Baixa,3033,Benifato
34,La Vega Baja,3034,Benijófar
26,El Comtat,3035,Benilloba
26,El Comtat,3036,Benillup
31,La Marina Baixa,3037,Benimantell
26,El Comtat,3038,Benimarfull
26,El Comtat,3039,Benimassot
30,La Marina Alta,3040,Benimeli
30,La Marina Alta,3041,Benissa
30,La Marina Alta,3042,"Poble Nou de Benitatxell, el"
28,El Alto Vinalopó,3043,Biar
34,La Vega Baja,3044,Bigastro
31,La Marina Baixa,3045,Bolulla
32,L'Alacantí,3046,Busot
30,La Marina Alta,3047,Calp
31,La Marina Baixa,3048,Callosa d'en Sarrià
34,La Vega Baja,3049,Callosa de Segura
32,L'Alacantí,3050,"Campello, el"
28,El Alto Vinalopó,3051,"Camp de Mirra, el"
28,El Alto Vinalopó,3052,Cañada
27,L'Alcoià,3053,Castalla
30,La Marina Alta,3054,Castell de Castells
34,La Vega Baja,3055,Catral
26,El Comtat,3056,Cocentaina
31,La Marina Baixa,3057,Confrides
34,La Vega Baja,3058,Cox
33,El Baix Vinalopó,3059,Crevillent
26,El Comtat,3060,Quatretondeta
34,La Vega Baja,3061,Daya Nueva
34,La Vega Baja,3062,Daya Vieja
30,La Marina Alta,3063,Dénia
34,La Vega Baja,3064,Dolores
33,El Baix Vinalopó,3065,Elx
29,El Vinalopó Medio,3066,Elda
26,El Comtat,3067,Facheca
26,El Comtat,3068,Famorca
31,La Marina Baixa,3069,Finestrat
34,La Vega Baja,3070,Formentera del Segura
30,La Marina Alta,3071,Gata de Gorgos
26,El Comtat,3072,Gaianes
26,El Comtat,3073,Gorga
34,La Vega Baja,3074,Granja de Rocamora
31,La Marina Baixa,3075,"Castell de Guadalest, el"
34,La Vega Baja,3076,Guardamar del Segura
29,El Vinalopó Medio,3077,"Fondó de les Neus, el"
29,El Vinalopó Medio,3078,Hondón de los Frailes
27,L'Alcoià,3079,Ibi
34,La Vega Baja,3080,Jacarilla
30,La Marina Alta,3081,Xaló
30,La Marina Alta,3082,Xàbia
32,L'Alacantí,3083,Xixona
26,El Comtat,3084,"Orxa, l'"
30,La Marina Alta,3085,Llíber
26,El Comtat,3086,Millena
29,El Vinalopó Medio,3088,Monforte del Cid
29,El Vinalopó Medio,3089,Monòver
32,L'Alacantí,3090,Mutxamel
30,La Marina Alta,3091,Murla
26,El Comtat,3092,Muro de Alcoy
29,El Vinalopó Medio,3093,Novelda
31,La Marina Baixa,3094,"Nucia, la"
30,La Marina Alta,3095,Ondara
27,L'Alcoià,3096,Onil
30,La Marina Alta,3097,Orba
31,La Marina Baixa,3098,Orxeta
34,La Vega Baja,3099,Orihuela
30,La Marina Alta,3100,Parcent
30,La Marina Alta,3101,Pedreguer
30,La Marina Alta,3102,Pego
27,L'Alcoià,3103,Penàguila
29,El Vinalopó Medio,3104,Petrer
29,El Vinalopó Medio,3105,"Pinós, el"
26,El Comtat,3106,Planes
31,La Marina Baixa,3107,Polop
34,La Vega Baja,3109,Rafal
30,La Marina Alta,3110,"Ràfol d'Almúnia, el"
34,La Vega Baja,3111,Redován
31,La Marina Baixa,3112,Relleu
34,La Vega Baja,3113,Rojales
29,El Vinalopó Medio,3114,"Romana, la"
30,La Marina Alta,3115,Sagra
28,El Alto Vinalopó,3116,Salinas
30,La Marina Alta,3117,Sanet y Negrals
34,La Vega Baja,3118,San Fulgencio
32,L'Alacantí,3119,Sant Joan d'Alacant
34,La Vega Baja,3120,San Miguel de Salinas
33,El Baix Vinalopó,3121,Santa Pola
32,L'Alacantí,3122,Sant Vicent del Raspeig
28,El Alto Vinalopó,3123,Sax
31,La Marina Baixa,3124,Sella
30,La Marina Alta,3125,Senija
31,La Marina Baixa,3127,Tàrbena
30,La Marina Alta,3128,Teulada
27,L'Alcoià,3129,Tibi
26,El Comtat,3130,Tollos
30,La Marina Alta,3131,Tormos
32,L'Alacantí,3132,"Torre de les Maçanes, la"
34,La Vega Baja,3133,Torrevieja
30,La Marina Alta,3134,"Vall d'Alcalà, la"
30,La Marina Alta,3135,"Vall d'Ebo, la"
30,La Marina Alta,3136,Vall de Gallinera
30,La Marina Alta,3137,"Vall de Laguar, la"
30,La Marina Alta,3138,"Verger, el"
31,La Marina Baixa,3139,"Vila Joiosa, la"
28,El Alto Vinalopó,3140,Villena
30,La Marina Alta,3901,"Poblets, els"
34,La Vega Baja,3902,Pilar de la Horadada
34,La Vega Baja,3903,"Montesinos, los"
34,La Vega Baja,3904,San Isidro
4,L'Alcalatén,12001,Atzeneta del Maestrat
6,La Plana Baixa,12002,Aín
2,L'Alt Maestrat,12003,Albocàsser
3,El Baix Maestrat,12004,Alcalà de Xivert
4,L'Alcalatén,12005,"Alcora, l'"
6,La Plana Baixa,12006,Alcudia de Veo
6,La Plana Baixa,12007,Alfondeguilla
7,El Alto Palancia,12008,Algimia de Almonacid
5,La Plana Alta,12009,Almassora
7,El Alto Palancia,12010,Almedíjar
6,La Plana Baixa,12011,Almenara
7,El Alto Palancia,12012,Altura
8,El Alto Mijares,12013,Arañuel
2,L'Alt Maestrat,12014,Ares del Maestrat
8,El Alto Mijares,12015,Argelita
6,La Plana Baixa,12016,Artana
8,El Alto Mijares,12017,Ayódar
7,El Alto Palancia,12018,Azuébar
7,El Alto Palancia,12020,Barracas
6,La Plana Baixa,12021,Betxí
7,El Alto Palancia,12022,Bejís
7,El Alto Palancia,12024,Benafer
4,L'Alcalatén,12025,Benafigos
2,L'Alt Maestrat,12026,Benassal
3,El Baix Maestrat,12027,Benicarló
5,La Plana Alta,12028,Benicàssim
5,La Plana Alta,12029,Benlloc
5,La Plana Alta,12031,Borriol
6,La Plana Baixa,12032,Borriana
5,La Plana Alta,12033,Cabanes
3,El Baix Maestrat,12034,Càlig
3,El Baix Maestrat,12036,Canet lo Roig
3,El Baix Maestrat,12037,Castell de Cabres
1,Els Ports,12038,Castellfort
7,El Alto Palancia,12039,Castellnovo
5,La Plana Alta,12040,Castelló de la Plana
8,El Alto Mijares,12041,Castillo de Villamalefa
2,L'Alt Maestrat,12042,Catí
7,El Alto Palancia,12043,Caudiel
3,El Baix Maestrat,12044,Cervera del Maestre
1,Els Ports,12045,Cinctorres
8,El Alto Mijares,12046,Cirat
8,El Alto Mijares,12048,Cortes de Arenoso
4,L'Alcalatén,12049,Costur
5,La Plana Alta,12050,"Coves de Vinromà, les"
2,L'Alt Maestrat,12051,Culla
3,El Baix Maestrat,12052,Xert
6,La Plana Baixa,12053,Chilches
4,L'Alcalatén,12055,Xodos
7,El Alto Palancia,12056,Chóvar
6,La Plana Baixa,12057,Eslida
8,El Alto Mijares,12058,Espadilla
8,El Alto Mijares,12059,Fanzara
4,L'Alcalatén,12060,Figueroles
1,Els Ports,12061,Forcall
8,El Alto Mijares,12063,Fuente la Reina
8,El Alto Mijares,12064,Fuentes de Ayódar
7,El Alto Palancia,12065,Gaibiel
7,El Alto Palancia,12067,Geldo
1,Els Ports,12068,Herbés
7,El Alto Palancia,12069,Higueras
3,El Baix Maestrat,12070,"Jana, la"
7,El Alto Palancia,12071,Jérica
4,L'Alcalatén,12072,Llucena
8,El Alto Mijares,12073,Ludiente
6,La Plana Baixa,12074,"Llosa, la"
1,Els Ports,12075,"Mata de Morella, la"
7,El Alto Palancia,12076,Matet
6,La Plana Baixa,12077,Moncofa
8,El Alto Mijares,12078,Montán
8,El Alto Mijares,12079,Montanejos
1,Els Ports,12080,Morella
7,El Alto Palancia,12081,Navajas
6,La Plana Baixa,12082,Nules
1,Els Ports,12083,Olocau del Rey
6,La Plana Baixa,12084,Onda
5,La Plana Alta,12085,Orpesa
1,Els Ports,12087,Palanques
7,El Alto Palancia,12088,Pavías
3,El Baix Maestrat,12089,Peníscola
7,El Alto Palancia,12090,Pina de Montalgrao
1,Els Ports,12091,Portell de Morella
8,El Alto Mijares,12092,Puebla de Arenoso
3,El Baix Maestrat,12093,"Pobla de Benifassà, la"
5,La Plana Alta,12094,"Pobla Tornesa, la"
6,La Plana Baixa,12095,Ribesalbes
3,El Baix Maestrat,12096,Rossell
7,El Alto Palancia,12097,Sacañet
3,El Baix Maestrat,12098,"Salzadella, la"
3,El Baix Maestrat,12099,Sant Jordi
3,El Baix Maestrat,12100,Sant Mateu
3,El Baix Maestrat,12101,San Rafael del Río
3,El Baix Maestrat,12102,Santa Magdalena de Pulpis
5,La Plana Alta,12103,"Serratella, la"
7,El Alto Palancia,12104,Segorbe
5,La Plana Alta,12105,Sierra Engarcerán
7,El Alto Palancia,12106,Soneja
7,El Alto Palancia,12107,Sot de Ferrer
6,La Plana Baixa,12108,Suera
6,La Plana Baixa,12109,Tales
7,El Alto Palancia,12110,Teresa
2,L'Alt Maestrat,12111,Tírig
1,Els Ports,12112,Todolella
8,El Alto Mijares,12113,Toga
7,El Alto Palancia,12114,Torás
7,El Alto Palancia,12115,"Toro, el"
8,El Alto Mijares,12116,Torralba del Pinar
5,La Plana Alta,12117,Torreblanca
8,El Alto Mijares,12118,Torrechiva
2,L'Alt Maestrat,12119,"Torre d'En Besora, la"
5,La Plana Alta,12120,"Torre d'en Doménec, la"
3,El Baix Maestrat,12121,Traiguera
4,L'Alcalatén,12122,"Useres, les"
8,El Alto Mijares,12123,Vallat
5,La Plana Alta,12124,Vall d'Alba
7,El Alto Palancia,12125,Vall de Almonacid
6,La Plana Baixa,12126,"Vall d'Uixó, la"
1,Els Ports,12127,Vallibona
5,La Plana Alta,12128,Vilafamés
2,L'Alt Maestrat,12129,Vilafranca
8,El Alto Mijares,12130,Villahermosa del Río
8,El Alto Mijares,12131,Villamalur
5,La Plana Alta,12132,Vilanova d'Alcolea
8,El Alto Mijares,12133,Villanueva de Viver
2,L'Alt Maestrat,12134,Vilar de Canes
6,La Plana Baixa,12135,Vila-real
6,La Plana Baixa,12136,"Vilavella, la"
1,Els Ports,12137,Villores
3,El Baix Maestrat,12138,Vinaròs
4,L'Alcalatén,12139,Vistabella del Maestrat
7,El Alto Palancia,12140,Viver
1,Els Ports,12141,Zorita del Maestrazgo
8,El Alto Mijares,12142,Zucaina
6,La Plana Baixa,12901,"Alqueries, les"
5,La Plana Alta,12902,Sant Joan de Moró
9,El Rincón de Ademuz,46001,Ademuz
25,La Safor,46002,Ador
24,La Vall d'Albaida,46003,Atzeneta d'Albaida
24,La Vall d'Albaida,46004,Agullent
14,L'Horta Oest,46005,Alaquàs
24,La Vall d'Albaida,46006,Albaida
16,L'Horta Sud,46007,Albal
21,La Ribera Baixa,46008,Albalat de la Ribera
13,L'Horta Nord,46009,Albalat dels Sorells
12,El Camp de Morvedre,46010,Albalat dels Tarongers
20,La Ribera Alta,46011,Alberic
18,La Hoya de Buñol,46012,Alborache
13,L'Horta Nord,46013,Alboraia
13,L'Horta Nord,46014,Albuixech
16,L'Horta Sud,46015,Alcàsser
20,La Ribera Alta,46016,Alcàntera de Xúquer
20,La Ribera Alta,46017,Alzira
10,Los Serranos,46018,Alcublas
20,La Ribera Alta,46019,"Alcúdia, l'"
23,La Costera,46020,"Alcúdia de Crespins, l'"
14,L'Horta Oest,46021,Aldaia
16,L'Horta Sud,46022,Alfafar
25,La Safor,46023,Alfauir
12,El Camp de Morvedre,46024,Alfara de la Baronia
13,L'Horta Nord,46025,Alfara del Patriarca
20,La Ribera Alta,46026,Alfarp
24,La Vall d'Albaida,46027,Alfarrasí
12,El Camp de Morvedre,46028,Algar de Palancia
20,La Ribera Alta,46029,Algemesí
12,El Camp de Morvedre,46030,Algímia d'Alfara
20,La Ribera Alta,46031,Alginet
13,L'Horta Nord,46032,Almàssera
25,La Safor,46033,Almiserà
25,La Safor,46034,Almoines
21,La Ribera Baixa,46035,Almussafes
10,Los Serranos,46036,Alpuente
25,La Safor,46037,"Alqueria de la Comtessa, l'"
10,Los Serranos,46038,Andilla
22,La Canal de Navarrés,46039,Anna
20,La Ribera Alta,46040,Antella
10,Los Serranos,46041,Aras de los Olmos
24,La Vall d'Albaida,46042,Aielo de Malferit
24,La Vall d'Albaida,46043,Aielo de Rugat
19,El Valle de Cofrentes-Ayora,46044,Ayora
23,La Costera,46045,Barxeta
25,La Safor,46046,Barx
24,La Vall d'Albaida,46047,Bèlgida
25,La Safor,46048,Bellreguard
24,La Vall d'Albaida,46049,Bellús
10,Los Serranos,46050,Benagéber
11,El Camp de Túria,46051,Benaguasil
12,El Camp de Morvedre,46052,Benavites
20,La Ribera Alta,46053,Beneixida
16,L'Horta Sud,46054,Benetússer
25,La Safor,46055,Beniarjó
24,La Vall d'Albaida,46056,Beniatjar
24,La Vall d'Albaida,46057,Benicolet
12,El Camp de Morvedre,46058,Benifairó de les Valls
25,La Safor,46059,Benifairó de la Valldigna
20,La Ribera Alta,46060,Benifaió
25,La Safor,46061,Beniflá
24,La Vall d'Albaida,46062,Benigànim
20,La Ribera Alta,46063,Benimodo
20,La Ribera Alta,46064,Benimuslem
16,L'Horta Sud,46065,Beniparrell
25,La Safor,46066,Benirredrà
11,El Camp de Túria,46067,Benissanó
24,La Vall d'Albaida,46068,Benissoda
24,La Vall d'Albaida,46069,Benissuera
11,El Camp de Túria,46070,Bétera
22,La Canal de Navarrés,46071,Bicorp
24,La Vall d'Albaida,46072,Bocairent
22,La Canal de Navarrés,46073,Bolbaite
13,L'Horta Nord,46074,Bonrepòs i Mirambell
24,La Vall d'Albaida,46075,Bufali
10,Los Serranos,46076,Bugarra
18,La Hoya de Buñol,46077,Buñol
13,L'Horta Nord,46078,Burjassot
10,Los Serranos,46079,Calles
17,La Plana de Utiel-Requena,46080,Camporrobles
23,La Costera,46081,Canals
12,El Camp de Morvedre,46082,Canet d'En Berenguer
20,La Ribera Alta,46083,Carcaixent
20,La Ribera Alta,46084,Càrcer
20,La Ribera Alta,46085,Carlet
24,La Vall d'Albaida,46086,Carrícola
9,El Rincón de Ademuz,46087,Casas Altas
9,El Rincón de Ademuz,46088,Casas Bajas
11,El Camp de Túria,46089,Casinos
24,La Vall d'Albaida,46090,Castelló de Rugat
25,La Safor,46091,Castellonet de la Conquesta
9,El Rincón de Ademuz,46092,Castielfabib
20,La Ribera Alta,46093,Catadau
16,L'Horta Sud,46094,Catarroja
17,La Plana de Utiel-Requena,46095,Caudete de las Fuentes
23,La Costera,46096,Cerdà
19,El Valle de Cofrentes-Ayora,46097,Cofrentes
21,La Ribera Baixa,46098,Corbera
19,El Valle de Cofrentes-Ayora,46099,Cortes de Pallás
20,La Ribera Alta,46100,Cotes
12,El Camp de Morvedre,46101,Quart de les Valls
14,L'Horta Oest,46102,Quart de Poblet
12,El Camp de Morvedre,46103,Quartell
24,La Vall d'Albaida,46104,Quatretonda
21,La Ribera Baixa,46105,Cullera
10,Los Serranos,46106,Chelva
22,La Canal de Navarrés,46107,Chella
17,La Plana de Utiel-Requena,46108,Chera
18,La Hoya de Buñol,46109,Cheste
14,L'Horta Oest,46110,Xirivella
18,La Hoya de Buñol,46111,Chiva
10,Los Serranos,46112,Chulilla
25,La Safor,46113,Daimús
10,Los Serranos,46114,Domeño
18,La Hoya de Buñol,46115,Dos Aguas
11,El Camp de Túria,46116,"Eliana, l'"
13,L'Horta Nord,46117,Emperador
22,La Canal de Navarrés,46118,Enguera
20,La Ribera Alta,46119,"Ènova, l'"
12,El Camp de Morvedre,46120,Estivella
23,La Costera,46121,Estubeny
12,El Camp de Morvedre,46122,Faura
21,La Ribera Baixa,46123,Favara
24,La Vall d'Albaida,46124,Fontanars dels Alforins
21,La Ribera Baixa,46125,Fortaleny
13,L'Horta Nord,46126,Foios
25,La Safor,46127,"Font d'En Carròs, la"
23,La Costera,46128,"Font de la Figuera, la"
17,La Plana de Utiel-Requena,46129,Fuenterrobles
20,La Ribera Alta,46130,Gavarda
25,La Safor,46131,Gandia
23,La Costera,46132,"Genovés, el"
10,Los Serranos,46133,Gestalgar
12,El Camp de Morvedre,46134,Gilet
13,L'Horta Nord,46135,Godella
18,La Hoya de Buñol,46136,Godelleta
23,La Costera,46137,"Granja de la Costera, la"
24,La Vall d'Albaida,46138,Guadasséquies
20,La Ribera Alta,46139,Guadassuar
25,La Safor,46140,Guardamar de la Safor
10,Los Serranos,46141,Higueruelas
19,El Valle de Cofrentes-Ayora,46142,Jalance
25,La Safor,46143,Xeraco
19,El Valle de Cofrentes-Ayora,46144,Jarafuel
23,La Costera,46145,Xàtiva
25,La Safor,46146,Xeresa
11,El Camp de Túria,46147,Llíria
11,El Camp de Túria,46148,Loriguilla
10,Los Serranos,46149,Losa del Obispo
24,La Vall d'Albaida,46150,Llutxent
23,La Costera,46151,Llocnou d'En Fenollet
16,L'Horta Sud,46152,Llocnou de la Corona
25,La Safor,46153,Llocnou de Sant Jeroni
23,La Costera,46154,Llanera de Ranes
21,La Ribera Baixa,46155,Llaurí
20,La Ribera Alta,46156,Llombai
23,La Costera,46157,"Llosa de Ranes, la"
18,La Hoya de Buñol,46158,Macastre
14,L'Horta Oest,46159,Manises
20,La Ribera Alta,46160,Manuel
11,El Camp de Túria,46161,Marines
20,La Ribera Alta,46162,Massalavés
13,L'Horta Nord,46163,Massalfassar
13,L'Horta Nord,46164,Massamagrell
16,L'Horta Sud,46165,Massanassa
13,L'Horta Nord,46166,Meliana
22,La Canal de Navarrés,46167,Millares
25,La Safor,46168,Miramar
14,L'Horta Oest,46169,Mislata
23,La Costera,46170,Moixent
13,L'Horta Nord,46171,Moncada
20,La Ribera Alta,46172,Montserrat
24,La Vall d'Albaida,46173,Montaverner
23,La Costera,46174,Montesa
24,La Vall d'Albaida,46175,Montitxelvo
20,La Ribera Alta,46176,Montroi
13,L'Horta Nord,46177,Museros
11,El Camp de Túria,46178,Nàquera
22,La Canal de Navarrés,46179,Navarrés
23,La Costera,46180,Novetlè
25,La Safor,46181,Oliva
11,El Camp de Túria,46182,Olocau
24,La Vall d'Albaida,46183,"Olleria, l'"
24,La Vall d'Albaida,46184,Ontinyent
24,La Vall d'Albaida,46185,Otos
16,L'Horta Sud,46186,Paiporta
25,La Safor,46187,Palma de Gandía
25,La Safor,46188,Palmera
24,La Vall d'Albaida,46189,"Palomar, el"
14,L'Horta Oest,46190,Paterna
10,Los Serranos,46191,Pedralba
12,El Camp de Morvedre,46192,Petrés
14,L'Horta Oest,46193,Picanya
16,L'Horta Sud,46194,Picassent
25,La Safor,46195,Piles
24,La Vall d'Albaida,46196,Pinet
21,La Ribera Baixa,46197,Polinyà de Xúquer
25,La Safor,46198,Potries
13,L'Horta Nord,46199,"Pobla de Farnals, la"
24,La Vall d'Albaida,46200,"Pobla del Duc, la"
9,El Rincón de Ademuz,46201,Puebla de San Miguel
11,El Camp de Túria,46202,"Pobla de Vallbona, la"
20,La Ribera Alta,46203,"Pobla Llarga, la"
13,L'Horta Nord,46204,"Puig de Santa Maria, el"
13,L'Horta Nord,46205,Puçol
22,La Canal de Navarrés,46206,Quesa
13,L'Horta Nord,46207,Rafelbunyol
25,La Safor,46208,Rafelcofer
20,La Ribera Alta,46209,Rafelguaraf
24,La Vall d'Albaida,46210,Ráfol de Salem
25,La Safor,46211,"Real de Gandia, el"
20,La Ribera Alta,46212,Real
17,La Plana de Utiel-Requena,46213,Requena
11,El Camp de Túria,46214,Riba-roja de Túria
21,La Ribera Baixa,46215,Riola
13,L'Horta Nord,46216,Rocafort
23,La Costera,46217,Rotglà i Corberà
25,La Safor,46218,Rótova
24,La Vall d'Albaida,46219,Rugat
12,El Camp de Morvedre,46220,Sagunt
24,La Vall d'Albaida,46221,Salem
20,La Ribera Alta,46222,Sant Joanet
16,L'Horta Sud,46223,Sedaví
12,El Camp de Morvedre,46224,Segart
20,La Ribera Alta,46225,Sellent
24,La Vall d'Albaida,46226,Sempere
20,La Ribera Alta,46227,Senyera
11,El Camp de Túria,46228,Serra
18,La Hoya de Buñol,46229,Siete Aguas
16,L'Horta Sud,46230,Silla
25,La Safor,46231,Simat de la Valldigna
17,La Plana de Utiel-Requena,46232,Sinarcas
21,La Ribera Baixa,46233,Sollana
10,Los Serranos,46234,Sot de Chera
21,La Ribera Baixa,46235,Sueca
20,La Ribera Alta,46236,Sumacàrcer
13,L'Horta Nord,46237,Tavernes Blanques
25,La Safor,46238,Tavernes de la Valldigna
19,El Valle de Cofrentes-Ayora,46239,Teresa de Cofrentes
24,La Vall d'Albaida,46240,Terrateig
10,Los Serranos,46241,Titaguas
9,El Rincón de Ademuz,46242,Torrebaja
23,La Costera,46243,Torrella
14,L'Horta Oest,46244,Torrent
12,El Camp de Morvedre,46245,Torres Torres
20,La Ribera Alta,46246,Tous
10,Los Serranos,46247,Tuéjar
20,La Ribera Alta,46248,Turís
17,La Plana de Utiel-Requena,46249,Utiel
15,Valencia,46250,València
23,La Costera,46251,Vallada
9,El Rincón de Ademuz,46252,Vallanca
23,La Costera,46253,Vallés
17,La Plana de Utiel-Requena,46254,Venta del Moro
25,La Safor,46255,Vilallonga
11,El Camp de Túria,46256,Vilamarxant
20,La Ribera Alta,46257,Villanueva de Castellón
10,Los Serranos,46258,Villar del Arzobispo
17,La Plana de Utiel-Requena,46259,Villargordo del Cabriel
13,L'Horta Nord,46260,Vinalesa
18,La Hoya de Buñol,46261,Yátova
10,Los Serranos,46262,"Yesa, la"
19,El Valle de Cofrentes-Ayora,46263,Zarra
11,El Camp de Túria,46902,Gátova
11,El Camp de Túria,46903,San Antonio de Benagéber
21,La Ribera Baixa,46904,Benicull de Xúquer
